Date,Weight (lbs),Weight (kg),,Comments
04/12/2026,7.56,3.433,,
04/16/2026,7.38,3.348,,
04/24/2026,7.81,3.547,,
04/26/2026,8.10,3.677,,
05/01/2026,8.6,3.904,,
05/03/2026,9.0,4.086,,
05/07/2026,9.2,4.177,,
05/11/2026,9.2,4.177,,
05/16/2026,9.8,4.449,,
